"Country","Month","Gasoline 95","Diesel","LPG"
"Austria","January","€ 1.49","€ 1.69",""
"Belarus","January","€ 0.91(Br 2.46)","€ 0.91(Br 2.46)","€ 0.49(Br 1.32)"
"Belgium","January","€ 1.69","€ 1.76","€ 0.70"
"Bosnia and Herzegovina","January","€ 1.31(KM 2.57)","€ 1.48(KM 2.89)","€ 0.77(KM 1.51)"
"Bulgaria","January","€ 1.23(лв. 2.41)","€ 1.46(лв. 2.85)","€ 0.51(лв. 0.99)"
"Croatia","January","€ 1.36(kn 10.20)","€ 1.61(kn 12.10)","€ 0.85(kn 6.40)"
"Cyprus","January","€ 1.41","€ 1.61",""
"Czech Republic","January","€ 1.50(Kč 36.00)","€ 1.56(Kč 37.50)","€ 0.70(Kč 16.90)"
"Denmark","January","€ 1.94(kr. 14.40)","€ 1.83(kr. 13.60)",""
"Estonia","January","€ 1.72","€ 1.75","€ 0.78"
"Finland","January","€ 1.91","€ 2.08",""
"France","January","€ 1.68","€ 1.77","€ 0.89"
"Germany","January","€ 1.73","€ 1.85","€ 1.11"
"Greece","January","€ 1.85","€ 1.80",""
"Hungary","January","€ 1.60(Ft 638)","€ 1.78(Ft 712)","€ 0.96(Ft 382)"
"Iceland","January","€ 2.12(kr 328)","€ 2.17(kr 335)",""
"Ireland","January","€ 1.56","€ 1.68",""
"Italy","January","€ 1.83","€ 1.89","€ 0.82"
"Latvia","January","€ 1.61","€ 1.66","€ 0.83"
"Lithuania","January","€ 1.48","€ 1.65","€ 0.71"
"Luxembourg","January","€ 1.51","€ 1.63","€ 0.72"
"Malta","January","€ 1.34","€ 1.21",""
"Moldova","January","€ 1.25(lei 25.20)","€ 1.09(lei 22.10)","€ 0.70(lei 14.10)"
"Netherlands","January","€ 1.80","€ 1.78","€ 0.76"
"North Macedonia","January","€ 1.26(den 78.30)","€ 1.31(den 81.10)","€ 0.81(den 50.20)"
"Norway","January","€ 2.03(kr 21.30)","€ 2.04(kr 21.30)",""
"Poland","January","€ 1.40(zł 6.60)","€ 1.64(zł 7.71)","€ 0.63(zł 2.98)"
"Portugal","January","€ 1.67","€ 1.63","€ 0.84"
"Romania","January","€ 1.29(lei 6.37)","€ 1.53(lei 7.56)","€ 0.82(lei 4.05)"
"Slovakia","January","€ 1.49","€ 1.61","€ 0.79"
"Slovenia","January","€ 1.27","€ 1.51","€ 0.95"
"Spain","January","€ 1.58","€ 1.66","€ 1.02"
"Sweden","January","€ 1.74(kr 18.60)","€ 2.15(kr 23.00)",""
"Switzerland","January","€ 1.81(CHF 1.79)","€ 2.09(CHF 2.07)",""
"Turkey","January","€ 0.97(₺ 17.60)","€ 1.10(₺ 19.90)",""
"Ukraine","January","€ 1.35(₴ 42.00)","€ 1.43(₴ 44.30)","€ 0.76(₴ 23.70)"
"United Kingdom","January","€ 1.70(£ 1.50)","€ 1.96(£ 1.73)",""
