"Country","Month","Gasoline 95","Diesel","LPG"
"Austria","December","€ 1.55","€ 1.74",""
"Belarus","December","€ 0.93(Br 2.48)","€ 0.93(Br 2.48)","€ 0.50(Br 1.33)"
"Belgium","December","€ 1.71","€ 1.79","€ 0.73"
"Bosnia and Herzegovina","December","€ 1.38(KM 2.69)","€ 1.57(KM 3.07)","€ 0.77(KM 1.51)"
"Bulgaria","December","€ 1.35(лв. 2.65)","€ 1.60(лв. 3.13)","€ 0.50(лв. 0.98)"
"Croatia","December","€ 1.57(kn 11.80)","€ 1.79(kn 13.50)","€ 0.91(kn 6.86)"
"Cyprus","December","€ 1.49","€ 1.75",""
"Czech Republic","December","€ 1.58(Kč 38.40)","€ 1.65(Kč 39.90)","€ 0.72(Kč 17.40)"
"Denmark","December","€ 1.94(kr. 14.40)","€ 1.87(kr. 13.80)",""
"Estonia","December","€ 1.80","€ 1.86","€ 0.84"
"Finland","December","€ 1.92","€ 2.08",""
"France","December","€ 1.73","€ 1.82","€ 0.88"
"Germany","December","€ 1.80","€ 1.85","€ 1.05"
"Greece","December","€ 1.96","€ 1.89",""
"Hungary","December","€ 1.23(Ft 512)","€ 1.46(Ft 609)","€ 0.95(Ft 397)"
"Iceland","December","€ 2.20(kr 327)","€ 2.23(kr 333)",""
"Ireland","December","€ 1.71","€ 1.89",""
"Italy","December","€ 1.69","€ 1.76","€ 0.78"
"Latvia","December","€ 1.69","€ 1.75","€ 0.83"
"Lithuania","December","€ 1.59","€ 1.75","€ 0.72"
"Luxembourg","December","€ 1.54","€ 1.67","€ 0.74"
"Malta","December","€ 1.34","€ 1.21",""
"Moldova","December","€ 1.25(lei 25.20)","€ 1.09(lei 22.10)","€ 0.70(lei 14.10)"
"Netherlands","December","€ 1.80","€ 1.78","€ 0.81"
"North Macedonia","December","€ 1.35(den 84.00)","€ 1.39(den 86.00)","€ 0.82(den 50.60)"
"Norway","December","€ 1.99(kr 20.80)","€ 2.05(kr 21.50)",""
"Poland","December","€ 1.39(zł 6.53)","€ 1.64(zł 7.71)","€ 0.62(zł 2.94)"
"Portugal","December","€ 1.65","€ 1.64","€ 0.88"
"Romania","December","€ 1.47(lei 7.27)","€ 1.72(lei 8.49)","€ 0.82(lei 4.06)"
"Slovakia","December","€ 1.58","€ 1.72","€ 0.82"
"Slovenia","December","€ 1.47","€ 1.65","€ 0.99"
"Spain","December","€ 1.69","€ 1.76","€ 1.04"
"Sweden","December","€ 1.79(kr 19.10)","€ 2.24(kr 23.90)",""
"Switzerland","December","€ 1.84(CHF 1.81)","€ 2.10(CHF 2.07)",""
"Turkey","December","€ 1.03(₺ 18.80)","€ 1.18(₺ 21.40)",""
"Ukraine","December","€ 1.34(₴ 41.70)","€ 1.45(₴ 44.90)","€ 0.77(₴ 24.00)"
"United Kingdom","December","€ 1.85(£ 1.59)","€ 2.13(£ 1.83)",""
