"Country","Month","Gasoline 95","Diesel","LPG"
"Austria","March","€ 1.56","€ 1.61",""
"Belarus","March","€ 0.91(Br 2.47)","€ 0.91(Br 2.47)","€ 0.49(Br 1.33)"
"Belgium","March","€ 1.71","€ 1.71","€ 0.72"
"Bosnia and Herzegovina","March","€ 1.32(KM 2.59)","€ 1.41(KM 2.75)","€ 0.74(KM 1.44)"
"Bulgaria","March","€ 1.30(лв. 2.54)","€ 1.41(лв. 2.75)","€ 0.59(лв. 1.16)"
"Croatia","March","€ 1.46","€ 1.58","€ 0.97"
"Cyprus","March","€ 1.40","€ 1.54",""
"Czech Republic","March","€ 1.55(Kč 36.60)","€ 1.48(Kč 35.10)","€ 0.69(Kč 16.50)"
"Denmark","March","€ 1.94(kr. 14.50)","€ 1.69(kr. 12.60)",""
"Estonia","March","€ 1.68","€ 1.59","€ 0.70"
"Finland","March","€ 1.95","€ 1.97",""
"France","March","€ 1.91","€ 1.82","€ 0.98"
"Germany","March","€ 1.80","€ 1.70","€ 1.08"
"Greece","March","€ 1.90","€ 1.69",""
"Hungary","March","€ 1.52(Ft 585)","€ 1.53(Ft 591)","€ 0.88(Ft 340)"
"Iceland","March","€ 2.17(kr 326)","€ 2.18(kr 328)",""
"Ireland","March","€ 1.62","€ 1.65",""
"Italy","March","€ 1.86","€ 1.80","€ 0.80"
"Latvia","March","€ 1.62","€ 1.61","€ 0.79"
"Lithuania","March","€ 1.51","€ 1.51","€ 0.60"
"Luxembourg","March","€ 1.53","€ 1.49","€ 0.74"
"Malta","March","€ 1.34","€ 1.21",""
"Moldova","March","€ 1.26(lei 25.00)","€ 1.13(lei 22.60)","€ 0.83(lei 16.50)"
"Netherlands","March","€ 1.78","€ 1.59","€ 0.87"
"North Macedonia","March","€ 1.31(den 81.00)","€ 1.21(den 74.50)","€ 0.81(den 50.00)"
"Norway","March","€ 1.98(kr 22.40)","€ 1.80(kr 20.30)",""
"Poland","March","€ 1.42(zł 6.67)","€ 1.47(zł 6.91)","€ 0.67(zł 3.16)"
"Portugal","March","€ 1.66","€ 1.52","€ 0.88"
"Romania","March","€ 1.35(lei 6.68)","€ 1.47(lei 7.26)","€ 0.81(lei 3.99)"
"Slovakia","March","€ 1.51","€ 1.53","€ 0.79"
"Slovenia","March","€ 1.38","€ 1.52","€ 0.93"
"Spain","March","€ 1.64","€ 1.57","€ 0.99"
"Sweden","March","€ 1.76(kr 19.90)","€ 1.99(kr 22.60)",""
"Switzerland","March","€ 1.82(CHF 1.80)","€ 2.00(CHF 1.98)",""
"Turkey","March","€ 1.01(₺ 20.80)","€ 1.01(₺ 20.70)",""
"Ukraine","March","€ 1.24(₴ 49.00)","€ 1.26(₴ 50.00)","€ 0.58(₴ 23.00)"
"United Kingdom","March","€ 1.68(£ 1.48)","€ 1.90(£ 1.68)",""
